SPECIES_CODE,ID,SAMPLING_YEAR,FLEET_CODE,REPCOUNTRY,GEAR_CODE,AREA,DATESTART,DATEEND,SEX,MATURITY,COMMENT,FL,RD,SF,HG,TL,HL,BH,SPECIES,SPECIES_SCIENTIFIC,SPECIES_CATEGORY_CODE,AREA_TYPE,N_MEASUREMENTS_SPECIES,DATE_RANGE,CF
ALB,224367,2007,KOR,KOR,LL,5234036,01/09/2007,30/09/2007,U,NA,NA,97,16,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224368,2007,KOR,KOR,LL,5234036,01/09/2007,30/09/2007,U,NA,NA,76,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224369,2007,KOR,KOR,LL,5234036,01/09/2007,30/09/2007,U,NA,NA,71,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224370,2007,KOR,KOR,LL,5234036,01/09/2007,30/09/2007,U,NA,NA,85,9,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224371,2007,KOR,KOR,LL,5234036,01/09/2007,30/09/2007,U,NA,NA,87,10,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224372,2007,KOR,KOR,LL,5234036,01/09/2007,30/09/2007,U,NA,NA,69,4,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224373,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,80,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224374,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,84,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224375,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,81,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224376,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,81,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224377,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,77,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224378,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,79,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224379,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,79,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224380,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,80,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224381,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,76,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224382,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,77,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224383,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,75,5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224384,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,77,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224385,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,72,5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224386,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,76,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224387,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,78,6.5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224388,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,81,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224389,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,83,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224390,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,78,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224391,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,78,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224392,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,82,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224393,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,75,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224394,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,76,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224395,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,78,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224396,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,78,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224397,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,97,15,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224398,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,79,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224399,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,87,9,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224400,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,79,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224401,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,89,11,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224402,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,111,21,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224403,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,77,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224404,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,77,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224405,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,79,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224406,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,93,13,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224407,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,80,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224408,2007,KOR,KOR,LL,5236041,01/09/2007,30/09/2007,U,NA,NA,79,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224409,2007,KOR,KOR,LL,5237040,01/09/2007,30/09/2007,U,NA,NA,75,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224410,2007,KOR,KOR,LL,5237040,01/09/2007,30/09/2007,U,NA,NA,76,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224411,2007,KOR,KOR,LL,5237040,01/09/2007,30/09/2007,U,NA,NA,75,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224412,2007,KOR,KOR,LL,5237040,01/09/2007,30/09/2007,U,NA,NA,81,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224413,2007,KOR,KOR,LL,5237040,01/09/2007,30/09/2007,U,NA,NA,101,20,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224414,2007,KOR,KOR,LL,5237040,01/09/2007,30/09/2007,U,NA,NA,93,12.5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224415,2007,KOR,KOR,LL,5237040,01/09/2007,30/09/2007,U,NA,NA,87,8.5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224416,2007,KOR,KOR,LL,5237040,01/09/2007,30/09/2007,U,NA,NA,89,11,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224417,2007,KOR,KOR,LL,5236039,01/09/2007,30/09/2007,U,NA,NA,77,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224418,2007,KOR,KOR,LL,5236039,01/09/2007,30/09/2007,U,NA,NA,79,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224419,2007,KOR,KOR,LL,5236039,01/09/2007,30/09/2007,U,NA,NA,82,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224420,2007,KOR,KOR,LL,5236039,01/09/2007,30/09/2007,U,NA,NA,69,4,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224421,2007,KOR,KOR,LL,5236039,01/09/2007,30/09/2007,U,NA,NA,70,4.5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224423,2007,KOR,KOR,LL,5235035,01/09/2007,30/09/2007,U,NA,NA,84,10,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224424,2007,KOR,KOR,LL,5235035,01/09/2007,30/09/2007,U,NA,NA,80,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224425,2007,KOR,KOR,LL,5235035,01/09/2007,30/09/2007,U,NA,NA,81,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224426,2007,KOR,KOR,LL,5235035,01/09/2007,30/09/2007,U,NA,NA,78,6.5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224427,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,88,9,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224428,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,89,11,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224429,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,96,16,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224430,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,80,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224431,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,80,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224432,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,78,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224433,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,91,12,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224434,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,93,15,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224435,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,93,15,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224436,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,78,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224437,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,80,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224438,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,78,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224439,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,81,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224440,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,80,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224441,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,88,10,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224442,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,87,10,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224443,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,89,10,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224444,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,79,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224445,2007,KOR,KOR,LL,5235032,01/09/2007,30/09/2007,U,NA,NA,79,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
